country,date,temp,humidity,weatherDesc
Greece,2020-01-01,6,57.5,Clear
Greece,2020-01-02,5,63.5,Patchy rain possible
Greece,2020-01-03,7,61.75,Clear
Greece,2020-01-04,11,48.0,Cloudy
Greece,2020-01-05,8,70.25,Overcast
Greece,2020-01-06,4,85.25,Moderate rain
Greece,2020-01-07,4,82.875,Moderate or heavy sleet
Greece,2020-01-08,5,64.875,Clear
Greece,2020-01-09,6,63.375,Partly cloudy
Greece,2020-01-10,10,57.875,Partly cloudy
Greece,2020-01-11,9,62.25,Partly cloudy
Greece,2020-01-12,9,76.0,Clear
Greece,2020-01-13,10,76.875,Cloudy
Greece,2020-01-14,10,73.375,Partly cloudy
Greece,2020-01-15,9,76.125,Cloudy
Greece,2020-01-16,8,72.125,Partly cloudy
Greece,2020-01-17,7,72.125,Partly cloudy
Greece,2020-01-18,8,72.0,Partly cloudy
Greece,2020-01-19,8,73.0,Clear
Greece,2020-01-20,7,73.875,Partly cloudy
Greece,2020-01-21,6,67.875,Partly cloudy
Greece,2020-01-22,10,58.0,Clear
Greece,2020-01-23,9,54.125,Partly cloudy
Greece,2020-01-24,9,62.375,Clear
Greece,2020-01-25,10,72.375,Clear
Greece,2020-01-26,11,73.625,Overcast
Greece,2020-01-27,13,80.625,Partly cloudy
Greece,2020-01-28,12,71.75,Partly cloudy
Greece,2020-01-29,13,75.375,Overcast
Greece,2020-01-30,14,67.5,Partly cloudy
Greece,2020-01-31,12,62.625,Partly cloudy
Greece,2020-02-01,14,66.5,Clear
Greece,2020-02-01,14,66.5,Clear
Greece,2020-02-02,13,72.375,Partly cloudy
Greece,2020-02-03,14,77.25,Partly cloudy
Greece,2020-02-04,14,76.0,Partly cloudy
Greece,2020-02-05,10,66.75,Partly cloudy
Greece,2020-02-06,5,68.75,Patchy rain possible
Greece,2020-02-07,5,63.0,Patchy heavy snow
Greece,2020-02-08,4,67.375,Partly cloudy
Greece,2020-02-09,8,67.125,Partly cloudy
Greece,2020-02-10,10,76.25,Partly cloudy
Greece,2020-02-11,13,74.875,Partly cloudy
Greece,2020-02-12,15,71.75,Partly cloudy
Greece,2020-02-13,13,72.875,Cloudy
Greece,2020-02-14,12,71.625,Partly cloudy
Greece,2020-02-15,11,84.25,Moderate or heavy rain shower
Greece,2020-02-16,9,72.125,Partly cloudy
Greece,2020-02-17,10,65.875,Clear
Greece,2020-02-18,13,53.375,Clear
Greece,2020-02-19,13,63.875,Partly cloudy
Greece,2020-02-20,13,73.375,Overcast
Greece,2020-02-21,9,72.125,Moderate rain at times
Greece,2020-02-22,8,67.375,Partly cloudy
Greece,2020-02-23,10,65.125,Partly cloudy
Greece,2020-02-24,13,56.875,Partly cloudy
Greece,2020-02-25,15,63.25,Clear
Greece,2020-02-26,14,70.875,Clear
Greece,2020-02-27,13,69.625,Partly cloudy
Greece,2020-02-28,11,56.0,Partly cloudy
Greece,2020-02-29,10,49.75,Clear
Greece,2020-03-01,11,59.375,Partly cloudy
Greece,2020-03-01,11,59.375,Partly cloudy
Greece,2020-03-02,14,67.875,Clear
Greece,2020-03-03,15,69.75,Partly cloudy
Greece,2020-03-04,15,70.75,Partly cloudy
Greece,2020-03-05,13,62.125,Partly cloudy
Greece,2020-03-06,13,67.375,Partly cloudy
Greece,2020-03-07,15,71.25,Partly cloudy
Greece,2020-03-08,16,74.375,Overcast
