country,date,temp,humidity,weatherDesc
Haiti,2020-01-01,26,79.75,Patchy rain possible
Haiti,2020-01-02,27,80.625,Patchy rain possible
Haiti,2020-01-03,27,76.5,Partly cloudy
Haiti,2020-01-04,27,71.875,Clear
Haiti,2020-01-05,27,76.75,Partly cloudy
Haiti,2020-01-06,26,70.75,Patchy rain possible
Haiti,2020-01-07,25,70.375,Partly cloudy
Haiti,2020-01-08,26,73.375,Partly cloudy
Haiti,2020-01-09,26,73.375,Partly cloudy
Haiti,2020-01-10,26,64.625,Partly cloudy
Haiti,2020-01-11,26,66.375,Partly cloudy
Haiti,2020-01-12,25,66.0,Partly cloudy
Haiti,2020-01-13,25,66.5,Partly cloudy
Haiti,2020-01-14,25,64.125,Partly cloudy
Haiti,2020-01-15,25,66.75,Patchy rain possible
Haiti,2020-01-16,26,67.0,Partly cloudy
Haiti,2020-01-17,25,69.25,Partly cloudy
Haiti,2020-01-18,26,70.25,Partly cloudy
Haiti,2020-01-19,26,67.75,Partly cloudy
Haiti,2020-01-20,26,73.125,Partly cloudy
Haiti,2020-01-21,26,76.875,Patchy rain possible
Haiti,2020-01-22,24,80.25,Patchy rain possible
Haiti,2020-01-23,23,83.375,Patchy rain possible
Haiti,2020-01-24,24,80.375,Patchy rain possible
Haiti,2020-01-25,25,78.125,Partly cloudy
Haiti,2020-01-26,24,78.375,Partly cloudy
Haiti,2020-01-27,26,74.125,Light rain shower
Haiti,2020-01-28,26,72.0,Patchy rain possible
Haiti,2020-01-29,26,72.75,Partly cloudy
Haiti,2020-01-30,25,77.5,Partly cloudy
Haiti,2020-01-31,27,70.625,Light rain shower
Haiti,2020-02-01,28,69.25,Partly cloudy
Haiti,2020-02-01,28,69.25,Partly cloudy
Haiti,2020-02-02,26,77.25,Partly cloudy
Haiti,2020-02-03,26,77.0,Partly cloudy
Haiti,2020-02-04,26,78.625,Patchy rain possible
Haiti,2020-02-05,27,71.25,Patchy rain possible
Haiti,2020-02-06,26,71.625,Partly cloudy
Haiti,2020-02-07,27,68.25,Clear
Haiti,2020-02-08,28,68.5,Partly cloudy
Haiti,2020-02-09,27,70.5,Patchy rain possible
Haiti,2020-02-10,28,65.5,Patchy rain possible
Haiti,2020-02-11,27,65.375,Partly cloudy
Haiti,2020-02-12,28,61.5,Patchy rain possible
Haiti,2020-02-13,28,62.5,Partly cloudy
Haiti,2020-02-14,28,58.625,Partly cloudy
Haiti,2020-02-15,27,66.375,Partly cloudy
Haiti,2020-02-16,27,68.0,Light rain shower
Haiti,2020-02-17,27,72.5,Patchy rain possible
Haiti,2020-02-18,28,69.0,Patchy rain possible
Haiti,2020-02-19,28,68.625,Partly cloudy
Haiti,2020-02-20,28,69.875,Light rain shower
Haiti,2020-02-21,26,73.875,Patchy rain possible
Haiti,2020-02-22,26,75.125,Patchy rain possible
Haiti,2020-02-23,26,74.625,Patchy rain possible
Haiti,2020-02-24,24,78.625,Patchy rain possible
Haiti,2020-02-25,27,74.125,Patchy rain possible
Haiti,2020-02-26,27,71.625,Patchy rain possible
Haiti,2020-02-27,27,73.0,Partly cloudy
Haiti,2020-02-28,27,73.75,Patchy rain possible
Haiti,2020-02-29,27,70.875,Patchy rain possible
Haiti,2020-03-01,24,76.375,Patchy rain possible
Haiti,2020-03-01,24,76.375,Patchy rain possible
Haiti,2020-03-02,25,76.75,Partly cloudy
Haiti,2020-03-03,26,77.375,Patchy rain possible
Haiti,2020-03-04,28,69.625,Light rain shower
Haiti,2020-03-05,29,65.625,Light rain shower
Haiti,2020-03-06,27,71.5,Patchy rain possible
Haiti,2020-03-07,26,75.25,Light rain shower
Haiti,2020-03-08,23,79.5,Patchy rain possible
Haiti,2020-03-09,23,73.375,Partly cloudy
Haiti,2020-03-10,25,75.0,Patchy rain possible
Haiti,2020-03-11,25,75.125,Patchy rain possible
Haiti,2020-03-12,26,73.25,Patchy rain possible
Haiti,2020-03-13,26,74.25,Patchy rain possible
Haiti,2020-03-14,26,75.25,Patchy rain possible
Haiti,2020-03-15,27,67.25,Patchy rain possible
Haiti,2020-03-16,26,62.875,Partly cloudy
Haiti,2020-03-17,26,64.75,Partly cloudy
Haiti,2020-03-18,26,67.625,Partly cloudy
Haiti,2020-03-19,27,72.125,Patchy rain possible
Haiti,2020-03-20,26,72.375,Light rain shower
Haiti,2020-03-21,26,70.625,Light rain shower
Haiti,2020-03-22,26,70.0,Light rain shower
Haiti,2020-03-23,27,68.5,Patchy rain possible
Haiti,2020-03-24,27,70.75,Patchy rain possible
Haiti,2020-03-25,27,76.25,Light rain shower
Haiti,2020-03-26,27,72.5,Light rain shower
Haiti,2020-03-27,27,71.5,Partly cloudy
Haiti,2020-03-28,28,65.5,Patchy rain possible
Haiti,2020-03-29,27,66.5,Patchy rain possible
Haiti,2020-03-30,28,70.375,Patchy rain possible
Haiti,2020-03-31,27,72.25,Patchy rain possible
