country,date,temp,humidity,weatherDesc
Sweden,2020-01-01,2,73.75,Partly cloudy
Sweden,2020-01-02,6,74.75,Partly cloudy
Sweden,2020-01-03,5,71.0,Cloudy
Sweden,2020-01-04,1,51.75,Overcast
Sweden,2020-01-05,-1,68.75,Partly cloudy
Sweden,2020-01-06,3,93.125,Light drizzle
Sweden,2020-01-07,5,83.875,Overcast
Sweden,2020-01-08,7,73.875,Partly cloudy
Sweden,2020-01-09,2,80.875,Partly cloudy
Sweden,2020-01-10,1,94.5,Cloudy
Sweden,2020-01-11,2,66.625,Partly cloudy
Sweden,2020-01-12,6,74.125,Overcast
Sweden,2020-01-13,2,83.125,Overcast
Sweden,2020-01-14,5,84.5,Partly cloudy
Sweden,2020-01-15,9,78.875,Partly cloudy
Sweden,2020-01-16,6,75.125,Moderate rain
Sweden,2020-01-17,4,86.75,Partly cloudy
Sweden,2020-01-18,3,94.75,Partly cloudy
Sweden,2020-01-19,3,83.125,Light drizzle
Sweden,2020-01-20,2,72.625,Partly cloudy
Sweden,2020-01-21,6,74.375,Partly cloudy
Sweden,2020-01-22,2,54.875,Overcast
Sweden,2020-01-23,1,72.375,Partly cloudy
Sweden,2020-01-24,5,80.125,Partly cloudy
Sweden,2020-01-25,1,70.625,Partly cloudy
Sweden,2020-01-26,6,82.875,Partly cloudy
Sweden,2020-01-27,4,89.125,Overcast
Sweden,2020-01-28,4,94.375,Light drizzle
Sweden,2020-01-29,4,92.0,Light rain
Sweden,2020-01-30,2,94.375,Mist
Sweden,2020-01-31,2,93.0,Mist
Sweden,2020-02-01,5,91.625,Light sleet
Sweden,2020-02-01,5,91.625,Light sleet
Sweden,2020-02-02,4,72.125,Overcast
Sweden,2020-02-03,0,69.0,Partly cloudy
Sweden,2020-02-04,-0,70.25,Partly cloudy
Sweden,2020-02-05,1,60.625,Overcast
Sweden,2020-02-06,-0,85.25,Cloudy
Sweden,2020-02-07,0,82.125,Partly cloudy
Sweden,2020-02-08,3,90.875,Overcast
Sweden,2020-02-09,4,82.25,Partly cloudy
Sweden,2020-02-10,6,72.375,Light drizzle
Sweden,2020-02-11,2,73.75,Light sleet
Sweden,2020-02-12,2,76.25,Partly cloudy
Sweden,2020-02-13,1,72.625,Light snow showers
Sweden,2020-02-14,1,75.0,Partly cloudy
Sweden,2020-02-15,2,88.25,Partly cloudy
Sweden,2020-02-16,9,83.125,Light drizzle
Sweden,2020-02-17,5,72.125,Light rain
Sweden,2020-02-18,6,68.375,Light freezing rain
Sweden,2020-02-19,3,77.875,Partly cloudy
Sweden,2020-02-20,2,80.625,Partly cloudy
Sweden,2020-02-21,5,73.5,Light drizzle
Sweden,2020-02-22,7,73.0,Cloudy
Sweden,2020-02-23,4,68.25,Overcast
Sweden,2020-02-24,2,58.75,Partly cloudy
Sweden,2020-02-25,2,70.125,Partly cloudy
Sweden,2020-02-26,-1,61.875,Blizzard
Sweden,2020-02-27,-2,73.75,Overcast
Sweden,2020-02-28,-2,62.625,Partly cloudy
Sweden,2020-02-29,1,88.75,Cloudy
Sweden,2020-03-01,4,80.25,Heavy snow
Sweden,2020-03-01,4,80.25,Heavy snow
Sweden,2020-03-02,3,85.625,Cloudy
Sweden,2020-03-03,4,93.0,Light rain
Sweden,2020-03-04,3,94.875,Light drizzle
Sweden,2020-03-05,2,81.0,Light sleet
Sweden,2020-03-06,3,81.0,Light snow showers
Sweden,2020-03-07,4,83.75,Partly cloudy
Sweden,2020-03-08,3,83.0,Partly cloudy
Sweden,2020-03-09,6,85.75,Partly cloudy
Sweden,2020-03-10,5,87.625,Light drizzle
Sweden,2020-03-11,6,74.75,Light rain
Sweden,2020-03-12,5,70.125,Partly cloudy
Sweden,2020-03-13,1,62.625,Partly cloudy
